fileName,wordCount,ttr,ttr_100,nouns,verbs,conjunctions,pronouns
29.txt,888,0.4166666666666667,0.68,202,177,35,91
15.txt,1686,0.3831553973902728,0.73,522,316,52,142
114.txt,1146,0.38394415357766143,0.63,284,212,62,106
100.txt,1689,0.3339253996447602,0.68,463,308,75,155
128.txt,973,0.4892086330935252,0.69,341,155,48,50
129.txt,1788,0.3092841163310962,0.73,518,306,72,147
101.txt,837,0.5149342891278376,0.82,316,121,35,53
115.txt,1693,0.3419964559952747,0.74,455,296,70,209
14.txt,950,0.5410526315789473,0.84,414,88,50,38
28.txt,1079,0.48378127896200185,0.78,332,159,61,58
16.txt,1463,0.41421736158578265,0.69,452,257,91,98
103.txt,1309,0.6501145912910619,0.63,742,86,143,30
117.txt,902,0.3835920177383592,0.64,274,178,38,57
116.txt,1335,0.43595505617977526,0.72,469,197,48,67
102.txt,724,0.5966850828729282,0.82,267,105,37,48
17.txt,1576,0.4035532994923858,0.74,453,306,72,145
13.txt,1256,0.446656050955414,0.75,436,184,38,71
106.txt,242,0.5909090909090909,0.72,68,41,7,24
112.txt,1352,0.42011834319526625,0.71,443,218,63,115
113.txt,1096,0.5091240875912408,0.74,353,146,41,81
107.txt,1162,0.44664371772805506,0.74,393,186,84,85
12.txt,692,0.48121387283236994,0.69,212,114,38,58
10.txt,821,0.440925700365408,0.7,276,137,27,40
38.txt,942,0.5414012738853503,0.71,442,91,45,46
139.txt,1575,0.30984126984126986,0.74,417,262,109,117
111.txt,829,0.5548854041013269,0.76,299,123,42,48
105.txt,1276,0.4090909090909091,0.68,393,209,117,94
104.txt,985,0.46598984771573604,0.68,310,151,36,56
110.txt,964,0.5601659751037344,0.72,378,141,39,58
138.txt,1384,0.43352601156069365,0.77,425,212,62,105
39.txt,1552,0.3550257731958763,0.7,560,230,47,72
11.txt,1179,0.5004240882103478,0.77,489,115,48,54
76.txt,1091,0.4665444546287809,0.75,374,156,36,34
62.txt,1307,0.3794950267788829,0.68,396,213,113,107
89.txt,1070,0.42710280373831777,0.73,300,185,63,43
88.txt,696,0.5632183908045977,0.79,290,79,40,41
63.txt,1478,0.4330175913396482,0.65,469,254,91,98
77.txt,268,0.6082089552238806,0.79,83,31,22,32
49.txt,958,0.5375782881002088,0.85,377,139,58,34
61.txt,782,0.5447570332480819,0.78,289,102,44,53
75.txt,990,0.43636363636363634,0.8,341,138,58,23
148.txt,236,0.5932203389830508,0.71,72,37,12,18
149.txt,608,0.524671052631579,0.73,199,89,31,25
74.txt,1105,0.5357466063348416,0.75,440,145,68,45
60.txt,688,0.5,0.69,206,112,31,43
48.txt,1069,0.45182413470533206,0.68,365,159,78,40
64.txt,759,0.5823451910408433,0.78,295,99,66,29
70.txt,874,0.425629290617849,0.79,264,175,32,72
58.txt,465,0.513978494623656,0.71,168,78,14,28
59.txt,998,0.4218436873747495,0.73,233,189,46,71
71.txt,702,0.5854700854700855,0.82,270,95,40,40
65.txt,1045,0.3866028708133971,0.74,240,190,43,109
73.txt,1147,0.4280732345248474,0.73,374,186,40,56
67.txt,839,0.5232419547079857,0.81,294,125,51,57
9.txt,921,0.38870792616720956,0.72,204,179,38,105
98.txt,1556,0.3708226221079691,0.8,534,263,74,114
99.txt,1353,0.47745750184774577,0.73,410,181,61,111
8.txt,603,0.5970149253731343,0.77,227,90,19,36
66.txt,748,0.4679144385026738,0.73,257,117,26,49
72.txt,779,0.4711168164313222,0.7,207,121,47,28
57.txt,1083,0.43213296398891965,0.68,327,177,72,79
5.txt,927,0.447680690399137,0.76,276,154,54,89
43.txt,640,0.565625,0.75,260,79,22,52
142.txt,808,0.5346534653465347,0.75,295,108,54,76
94.txt,643,0.5458786936236392,0.8,213,100,42,48
80.txt,1420,0.40774647887323945,0.69,392,226,85,115
81.txt,1319,0.4632297194844579,0.69,436,188,78,59
95.txt,1396,0.3681948424068768,0.73,365,240,62,63
143.txt,753,0.4820717131474104,0.77,264,106,23,36
42.txt,1307,0.495026778882938,0.73,515,169,58,47
56.txt,938,0.4605543710021322,0.67,353,123,55,48
4.txt,852,0.47417840375586856,0.73,293,144,28,43
68.txt,1085,0.4497695852534562,0.83,319,180,36,71
40.txt,865,0.48786127167630056,0.69,286,130,38,38
6.txt,1024,0.40625,0.74,300,187,38,61
54.txt,981,0.46075433231396534,0.67,354,177,22,63
141.txt,616,0.6103896103896104,0.81,235,78,40,34
83.txt,433,0.4942263279445728,0.6,111,68,19,46
97.txt,826,0.4854721549636804,0.74,286,127,44,54
96.txt,1632,0.3946078431372549,0.76,485,249,68,82
82.txt,911,0.5587266739846323,0.77,316,121,52,58
140.txt,876,0.5125570776255708,0.77,264,140,39,71
7.txt,911,0.5268935236004391,0.77,310,139,54,60
55.txt,1826,0.42113910186199344,0.77,611,231,98,137
41.txt,704,0.4914772727272727,0.77,191,122,44,28
69.txt,686,0.5029154518950437,0.76,261,103,18,19
45.txt,961,0.3413111342351717,0.77,318,149,74,30
51.txt,796,0.5213567839195979,0.7,296,99,30,32
3.txt,1171,0.4210076857386849,0.74,379,190,37,52
79.txt,1351,0.3760177646188009,0.8,409,237,54,107
86.txt,839,0.5065554231227652,0.76,273,119,74,73
92.txt,745,0.538255033557047,0.8,278,106,44,61
144.txt,892,0.515695067264574,0.7,358,109,47,74
150.txt,542,0.6107011070110702,0.73,205,79,24,18
145.txt,2142,0.36321195144724555,0.7,648,374,105,181
93.txt,1047,0.49379178605539636,0.78,398,133,48,54
87.txt,1120,0.4276785714285714,0.77,364,190,49,82
78.txt,891,0.4601571268237935,0.66,301,145,36,45
50.txt,794,0.6209068010075567,0.82,381,107,26,43
2.txt,568,0.6003521126760564,0.73,230,61,41,21
44.txt,1372,0.3892128279883382,0.72,459,229,69,55
52.txt,1111,0.42934293429342935,0.83,363,178,68,38
46.txt,1353,0.49076127124907615,0.76,413,210,52,94
91.txt,1259,0.4011119936457506,0.75,454,172,64,52
85.txt,1399,0.3795568263045032,0.71,370,224,54,95
